Northing Easting
5879028.2 1753381.67
5954697.45 1751358.87
5970109.46 1750088.87
5980613.44 1738367.8
5948043.17 1762643.37
5907257.31 1757733.352
5927764.55 1778490.68
5931586.05 1753171.27
5967873.73 1754004.71
5433137.0932 1759683.17282
5422354.2434 1751577.8473
5425522.0725 1742280.5559
5447126 1752480
5853635 1859994
5814368 1905377
5844869.548 1862034.967
5813067 1893894
5839236 1859226
5183000 1356500
5193595 1370949
5133752 1282425
5270849 1435050
5775298.29 1934430.3
5738569.45 1923482.1
5791430.86 1935300.14
5779677.1 1950421.98
5792479.78 1947959.78
5788037.01 1956390.35
5574381.9335 1773717.3183
5583619.551 1763027.9926
5574825.8632 1775657.6266
6082750 1720950
6029800.0263 1732682.6237
6017529 1732554
6058500 1715700
6056600 1735650
6036495 1719760
6057694.478 1737629.907
6022516 1708288
6043500.232 1720242.857
